City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,san luis de la loma,17.2706,-100.8939,22.58,78,0,2.16,MX,1703907850
181,bako,5.7833,36.5667,19.73,61,99,1.48,ET,1703907851
182,mumbwa,-14.9783,27.0619,17.43,99,65,1.5,ZM,1703907851
183,port elizabeth,-33.918,25.5701,19.62,87,0,7.2,ZA,1703907608
184,la ronge,55.1001,-105.2842,-10.86,92,40,1.03,CA,1703907852
185,polovinnoye,54.7914,65.9864,-11.07,82,66,9.56,RU,1703907852
186,san patricio,28.017,-97.5169,13.24,50,0,3.72,US,1703907652
187,crane,31.3974,-102.3501,8.77,29,0,2.64,US,1703907853
188,al hasaheisa,14.7526,33.2984,17.16,29,1,4.53,SD,1703907853
189,troitsko-pechorsk,62.7084,56.1964,-10.67,94,100,4.5,RU,1703907853
190,kill devil hills,36.0307,-75.676,9.01,67,75,7.72,US,1703907854
191,wailua homesteads,22.0669,-159.378,25.24,82,33,0.45,US,1703907854
192,sant'antioco,39.0664,8.4522,12.09,84,100,1.85,IT,1703907855
193,richards bay,-28.783,32.0377,19.88,87,8,2.12,ZA,1703907855
194,mandalgovi,45.7625,106.2708,-8.62,87,6,3.3,MN,1703907856
195,sinop,41.7711,34.8709,6.29,50,21,3.13,TR,1703907856
196,trevelin,-43.0858,-71.4639,14.71,78,0,1.85,AR,1703907856
197,toliara,-23.35,43.6667,25.43,78,100,4.18,MG,1703907857
198,port alfred,-33.5906,26.891,22.23,83,100,5.11,ZA,1703907857
199,santa maria,-29.6842,-53.8069,22.61,88,75,1.03,BR,1703907857
200,olutanga,7.3106,122.8464,27.98,77,40,1.06,PH,1703907858
201,yanam,16.7333,82.2167,25.39,66,65,2.27,IN,1703907787
202,khanty-mansiysk,61.0042,69.0019,-9.94,85,75,3.13,RU,1703907858
203,caleta de carquin,-11.0925,-77.6267,22.07,85,99,3.49,PE,1703907858
204,fale old settlement,-9.3852,-171.2468,29.25,69,100,5.98,TK,1703907859
205,moyynkum,44.2914,72.9469,-1.1,62,35,4.12,KZ,1703907860
206,sitia,35.2,26.0986,14.99,75,100,2.31,GR,1703907860
207,port macquarie,-31.4333,152.9167,27.16,65,30,5.03,AU,1703907860
208,rio gallegos,-51.6226,-69.2181,12.03,82,20,6.69,AR,1703907861
209,hilo,19.7297,-155.09,21.81,99,100,2.06,US,1703907861
210,sokolovyy,51.5686,45.8331,1.86,84,100,0.89,RU,1703907861
211,jayapura,-2.5333,140.7,33.66,66,99,2.41,ID,1703907607
212,motul,21.1,-89.2833,18.88,86,97,3.05,MX,1703907862
213,roccella ionica,38.322,16.4009,11.54,76,99,1.98,IT,1703907862
214,santa terezinha,-29.9002,-50.0904,19.73,85,24,4.05,BR,1703907863
215,sitka,57.0531,-135.33,11.94,62,100,8.23,US,1703907863
216,cidreira,-30.1811,-50.2056,19.86,79,8,4.42,BR,1703907863
217,tazovsky,67.4667,78.7,-14.84,93,100,9.21,RU,1703907864
218,mollendo,-17.0231,-72.0147,21.48,84,99,2.86,PE,1703907865
219,paracuru,-3.41,-39.0306,27.84,84,93,3.74,BR,1703907865
220,inarajan village,13.2736,144.7484,31.54,78,92,9.86,GU,1703907865
221,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.03,GF,1703907866
222,kirakira,-10.4544,161.9205,29.35,77,87,3.21,SB,1703907866
223,mirnyy,62.5353,113.9611,-29.06,97,100,1.74,RU,1703907867
224,mahibadhoo,3.7833,72.9667,26.61,85,99,7.2,MV,1703907867
225,bandrele,-12.9067,45.1914,27.86,89,0,1.54,YT,1703907867
226,vila franca do campo,37.7167,-25.4333,16.23,78,100,2.62,PT,1703907868
227,kooringal,-35.1428,147.3771,25.15,38,14,0.89,AU,1703907868
228,saipan,15.1355,145.701,29.39,70,40,8.75,MP,1703907868
229,seymour,38.9592,-85.8903,2.08,91,100,0.45,US,1703907869
230,hirara,24.8,125.2833,25.92,88,75,5.66,JP,1703907681
231,ghauspur,28.1391,69.0831,18.07,29,82,2.98,PK,1703907869
232,lebu,-37.6167,-73.65,12.82,89,2,5.31,CL,1703907870
233,longyearbyen,78.2186,15.6401,-0.09,69,75,8.75,SJ,1703907871
234,parauapebas,-6.0675,-49.9022,22.27,99,100,0.93,BR,1703907872
235,wynyard,-41.0,145.7167,17.53,38,99,5.53,AU,1703907872
236,puerto santa,-8.9906,-78.6456,21.67,85,98,3.92,PE,1703907872
237,undurkhaan,47.3194,110.6556,-10.54,95,80,1.58,MN,1703907872
238,valparaiso,-33.0393,-71.6273,16.8,88,100,3.09,CL,1703907873
239,el granada,37.5027,-122.4694,14.14,95,100,3.6,US,1703907873
240,buka,40.8108,69.1986,0.34,73,19,1.25,UZ,1703907874
241,aripuana,-9.1667,-60.6333,22.9,99,69,0.95,BR,1703907874
242,mount isa,-20.7333,139.5,41.87,19,0,5.14,AU,1703907874
243,dryden,49.7833,-92.7503,-4.84,100,75,2.06,CA,1703907875
244,praia da vitoria,38.7333,-27.0667,15.42,94,40,3.58,PT,1703907875
245,mhlume,-26.0333,31.85,18.47,94,98,1.56,SZ,1703907829
246,nar'yan-mar,67.6713,53.087,-16.05,97,100,4.02,RU,1703907876
247,lloydminster,53.2835,-110.0016,-5.88,86,0,2.57,CA,1703907876
248,mount pearl,47.5166,-52.7813,-0.64,95,100,10.29,CA,1703907877
249,ancud,-41.8697,-73.8203,10.92,81,0,1.7,CL,1703907877
250,pangai,-19.8,-174.35,29.06,65,20,6.69,TO,1703907878
251,flying fish cove,-10.4217,105.6791,28.82,78,75,6.69,CX,1703907878
252,diego martin,10.7005,-61.5342,22.49,86,13,3.27,TT,1703907379
253,cheria,35.2731,7.7519,3.12,52,100,2.05,DZ,1703907878
254,cockburn town,21.4612,-71.1419,25.63,77,5,2.99,TC,1703907879
255,inongo,-1.95,18.2667,22.86,91,96,2.31,CD,1703907880
256,korhogo,9.45,-5.6333,18.86,16,0,1.51,CI,1703907880
257,dordrecht,51.81,4.6736,8.36,88,89,3.13,NL,1703907880
258,ambalangoda,6.2355,80.0538,27.13,78,88,1.03,LK,1703907881
259,tsiombe,-25.3,45.4833,24.3,82,93,7.43,MG,1703907881
260,saynshand,44.8824,110.1163,-9.52,90,59,3.52,MN,1703907881
261,sao paulo de olivenca,-3.3783,-68.8725,23.16,97,98,0.04,BR,1703907882
262,vilyuchinsk,52.9306,158.4028,-10.85,72,100,3.59,RU,1703907882
263,katabu,-4.9333,122.5167,32.61,56,75,0.93,ID,1703907883
264,holualoa,19.6228,-155.9522,23.91,82,40,2.57,US,1703907883
265,mawu,29.5923,107.3139,12.53,68,0,1.07,CN,1703907883
266,san pedro de macoris,18.4616,-69.2972,23.34,87,0,3.05,DO,1703907884
267,san jose de jachal,-30.2406,-68.7469,23.47,28,17,1.98,AR,1703907884
268,ola,59.5833,151.2833,-25.2,81,87,4.25,RU,1703907885
269,hadibu,12.65,54.0333,24.33,73,54,4.58,YE,1703907885
270,lagunillas,10.1301,-71.2595,25.99,84,74,2.35,VE,1703907885
271,mangrol,21.1167,70.1167,23.82,48,4,3.22,IN,1703907886
272,cartagena,10.3997,-75.5144,27.79,83,40,3.6,CO,1703907886
273,kavieng,-2.5744,150.7967,28.94,72,100,1.97,PG,1703907887
274,souillac,-20.5167,57.5167,26.21,78,75,0.0,MU,1703907887
275,lincoln city,44.9582,-124.0179,12.76,92,100,2.24,US,1703907887
276,lerwick,60.1545,-1.1494,5.0,67,99,11.32,GB,1703907888
277,lazaro cardenas,17.9583,-102.2,21.98,79,0,2.06,MX,1703907797
278,xianning,29.8833,114.2167,15.15,64,5,2.7,CN,1703907701
279,kitaibaraki,36.7833,140.75,14.58,63,11,0.89,JP,1703907627
280,lompoc,34.6391,-120.4579,15.56,83,0,4.12,US,1703907889
281,longgang,37.6508,120.3286,4.86,89,62,4.27,CN,1703907889
282,shantobe,52.4581,68.1839,-7.42,92,100,9.73,KZ,1703907889
283,bam,29.106,58.357,12.87,35,75,2.9,IR,1703907890
284,trancas,-26.2314,-65.2803,19.45,85,100,1.06,AR,1703907891
285,picos,-7.0769,-41.4669,28.49,49,97,0.29,BR,1703907891
286,deming,32.2687,-107.7586,2.94,41,0,3.09,US,1703907891
287,lospalos,-8.5186,127.0025,32.36,50,70,3.19,TL,1703907892
288,east london,-33.0153,27.9116,20.52,88,40,3.6,ZA,1703907619
289,beichengqu,40.4394,113.1536,-5.56,74,87,4.18,CN,1703907892
290,pericos,25.05,-107.7,17.95,58,32,0.82,MX,1703907893
291,siuna,13.7332,-84.7773,21.96,97,100,0.6,NI,1703907893
292,mosjoen,65.836,13.1908,-6.71,93,100,0.51,NO,1703907894
293,toamasina,-18.1667,49.3833,25.0,94,40,1.54,MG,1703907895
294,progreso,21.2833,-89.6667,18.95,74,100,6.96,MX,1703907895
295,hami,42.8,93.45,-4.3,67,83,1.5,CN,1703907896
296,kruisfontein,-34.0033,24.7314,22.04,67,75,1.82,ZA,1703907896
297,xiva,41.3783,60.3639,-2.01,56,1,4.02,UZ,1703907897
